index,batch_size,activation,learning_rate,num_layers,units,auc,optimizer,epochs
646,200,sigmoid,0.01,5,2048,0.5209452811624915,SGD,10
397,200,sigmoid,0.2,9,1024,0.5188072352985696,SGD,10
801,100,selu,0.2,9,2048,0.5186369484598501,Adam,10
667,200,sigmoid,0.2,9,2048,0.5179558011049724,SGD,10
243,100,selu,0.01,9,512,0.5177476727465374,Adam,10
395,50,sigmoid,0.2,9,1024,0.5172178914705214,SGD,10
804,100,selu,0.5,2,2048,0.5169530008325135,Adam,10
369,100,sigmoid,0.001,9,1024,0.5167070309543631,SGD,10
8,50,relu,0.001,9,512,0.5160448043593431,SGD,10
99,100,sigmoid,0.001,9,512,0.5151366078861727,SGD,10
767,50,selu,0.001,2,2048,0.5134337394989783,Adam,10
393,100,sigmoid,0.2,5,1024,0.5128471959433891,SGD,10
512,50,selu,0.01,9,1024,0.5124877015060925,Adam,10
6,100,relu,0.001,5,512,0.5109361991977598,SGD,10
41,50,relu,0.5,5,512,0.5103685764020283,SGD,10
682,200,sigmoid,0.001,5,2048,0.5092900930901385,Adam,10
680,50,sigmoid,0.001,5,2048,0.509063043971846,Adam,10
107,50,sigmoid,0.01,9,512,0.5082305305381064,SGD,10
517,200,selu,0.1,2,1024,0.5081737682585333,Adam,10
640,200,sigmoid,0.001,9,2048,0.5081359267388179,SGD,10
670,200,sigmoid,0.5,2,2048,0.5081359267388179,SGD,10
255,100,selu,0.2,2,512,0.5076250662226595,Adam,10
676,200,sigmoid,0.5,9,2048,0.5073790963445092,SGD,10
586,200,relu,0.5,9,2048,0.5065087413910543,SGD,10
375,100,sigmoid,0.01,5,1024,0.5063573753121925,SGD,10
373,200,sigmoid,0.01,2,1024,0.5063195337924772,SGD,10
214,200,selu,0.2,5,512,0.5047491107242867,SGD,10
364,200,sigmoid,0.001,2,1024,0.5046923484447137,SGD,10
264,100,selu,0.5,2,512,0.5038598350109741,Adam,10
783,100,selu,0.01,9,2048,0.5034246575342466,Adam,10
109,200,sigmoid,0.01,9,512,0.5031408461363809,SGD,10
529,200,selu,0.2,5,1024,0.5027624309392266,Adam,10
485,50,selu,0.2,9,1024,0.5026489063800802,SGD,10
550,200,relu,0.001,9,2048,0.5023083327026414,SGD,10
777,100,selu,0.01,2,2048,0.5021002043442064,Adam,10
781,200,selu,0.01,5,2048,0.5019866797850602,Adam,10
752,50,selu,0.2,5,2048,0.5014379777491864,SGD,10
112,200,sigmoid,0.1,2,512,0.49965942632256105,SGD,10
385,200,sigmoid,0.1,5,1024,0.49947021872398395,SGD,10
673,200,sigmoid,0.5,5,2048,0.4983917354120942,SGD,10
779,50,selu,0.01,5,2048,0.49789979565579356,Adam,10
681,100,sigmoid,0.001,5,2048,0.4978997956557935,Adam,10
415,200,sigmoid,0.001,9,1024,0.4972564898206312,Adam,10
251,50,selu,0.1,9,512,0.4972375690607735,Adam,10
760,200,selu,0.5,2,2048,0.4972375690607735,SGD,10
94,200,sigmoid,0.001,2,512,0.49712404450162717,SGD,10
474,100,selu,0.1,5,1024,0.494475138121547,SGD,10
806,50,selu,0.5,5,2048,0.494475138121547,Adam,10
635,50,sigmoid,0.001,5,2048,0.4934534170892303,SGD,10
683,50,sigmoid,0.001,9,2048,0.4931506849315068,Adam,10
366,100,sigmoid,0.001,5,1024,0.4929993188526451,SGD,10
414,100,sigmoid,0.001,9,1024,0.4918262317414667,Adam,10
684,100,sigmoid,0.001,9,2048,0.491807310981609,Adam,10
510,100,selu,0.01,5,1024,0.49148565806402783,Adam,10
39,100,relu,0.5,2,512,0.49123968818587754,SGD,10
638,50,sigmoid,0.001,9,2048,0.49114508438658894,SGD,10
647,50,sigmoid,0.01,9,2048,0.4905396200711421,SGD,10
807,100,selu,0.5,5,2048,0.4905017785514266,Adam,10
796,200,selu,0.2,2,2048,0.4901612048739878,Adam,10
388,200,sigmoid,0.1,9,1024,0.48938545371982145,SGD,10
134,50,sigmoid,0.5,9,512,0.4887232271248014,SGD,10
363,100,sigmoid,0.001,2,1024,0.4830091576477712,SGD,10
125,50,sigmoid,0.2,9,512,0.48264966321047453,SGD,10
252,100,selu,0.1,9,512,0.48230908953303564,Adam,10
34,200,relu,0.2,5,512,0.4814954968591539,SGD,10
384,100,sigmoid,0.1,5,1024,0.4812306062211459,SGD,10
105,100,sigmoid,0.01,5,512,0.4810413986225687,SGD,10
10,200,relu,0.001,9,512,0.4794520547945205,SGD,10
661,200,sigmoid,0.2,2,2048,0.47941421327480505,SGD,10
95,50,sigmoid,0.001,5,512,0.4786384621206388,SGD,10
377,50,sigmoid,0.01,9,1024,0.47774918640732617,SGD,10
509,50,selu,0.01,5,1024,0.47720048437145235,Adam,10
396,100,sigmoid,0.2,9,1024,0.4760084765004163,SGD,10
649,200,sigmoid,0.01,9,2048,0.47597063498070086,SGD,10
503,50,selu,0.001,9,1024,0.47576250662226593,Adam,10
645,100,sigmoid,0.01,5,2048,0.47572466510255057,SGD,10
520,200,selu,0.1,5,1024,0.472697343525316,Adam,10
290,50,relu,0.1,2,1024,0.4685536971164762,SGD,10
263,50,selu,0.5,2,512,0.46480738666464844,Adam,10
566,50,relu,0.1,9,2048,0.46253689548172255,SGD,10
38,50,relu,0.5,2,512,0.4621963218042836,SGD,10
639,100,sigmoid,0.001,9,2048,0.4613448876106864,SGD,10
636,100,sigmoid,0.001,5,2048,0.46102323469310524,SGD,10
795,100,selu,0.2,2,2048,0.4554226897752214,Adam,10
92,50,sigmoid,0.001,2,512,0.4551577991372134,SGD,10
492,100,selu,0.5,5,1024,0.4541739196246122,SGD,10
22,200,relu,0.1,2,512,0.4540225535457504,SGD,10
674,50,sigmoid,0.5,9,2048,0.45360629682888065,SGD,10
305,50,relu,0.2,9,1024,0.4525088927571331,SGD,10
637,200,sigmoid,0.001,5,2048,0.45186558692197076,SGD,10
96,100,sigmoid,0.001,5,512,0.45173314160296685,SGD,10
770,50,selu,0.001,5,2048,0.4489139483841671,Adam,10
213,100,selu,0.2,5,512,0.44681374403996066,SGD,10
116,50,sigmoid,0.1,9,512,0.4466434572012412,SGD,10
648,100,sigmoid,0.01,9,2048,0.4457163399682131,SGD,10
560,50,relu,0.1,2,2048,0.4367478997956558,SGD,10
394,200,sigmoid,0.2,5,1024,0.43627488079921284,SGD,10
365,50,sigmoid,0.001,5,1024,0.4307121774010445,SGD,10
776,50,selu,0.01,2,2048,0.42060849163702413,Adam,10
368,50,sigmoid,0.001,9,1024,0.3962196321804284,SGD,10
687,100,sigmoid,0.01,2,2048,0.3935518050404904,Adam,10
535,200,selu,0.5,2,1024,0.37434723378490875,Adam,10
787,200,selu,0.1,2,2048,0.3631839854688564,Adam,10
805,200,selu,0.5,2,2048,0.34969348369030506,Adam,10
227,50,selu,0.001,2,512,0.85735639143268,Adam,10
408,100,sigmoid,0.001,2,1024,0.85561568152577,Adam,10
211,200,selu,0.2,2,512,0.82538030727314,SGD,10
285,100,relu,0.01,5,1024,0.7900930901385,SGD,10
577,200,relu,0.2,9,2048,0.75240293650193,SGD,10
382,200,sigmoid,0.1,2,1024,0.71910239915235,SGD,10
376,200,sigmoid,0.01,5,1024,0.51665026867479,SGD,10
30,100,relu,0.2,2,512,0.5,SGD,10
31,200,relu,0.2,2,512,0.5,SGD,10
32,50,relu,0.2,5,512,0.5,SGD,10
40,200,relu,0.5,2,512,0.5,SGD,10
43,200,relu,0.5,5,512,0.5,SGD,10
44,50,relu,0.5,9,512,0.5,SGD,10
46,200,relu,0.5,9,512,0.5,SGD,10
56,50,relu,0.01,2,512,0.5,Adam,10
58,200,relu,0.01,2,512,0.5,Adam,10
59,50,relu,0.01,5,512,0.5,Adam,10
60,100,relu,0.01,5,512,0.5,Adam,10
61,200,relu,0.01,5,512,0.5,Adam,10
62,50,relu,0.01,9,512,0.5,Adam,10
63,100,relu,0.01,9,512,0.5,Adam,10
64,200,relu,0.01,9,512,0.5,Adam,10
65,50,relu,0.1,2,512,0.5,Adam,10
66,100,relu,0.1,2,512,0.5,Adam,10
67,200,relu,0.1,2,512,0.5,Adam,10
68,50,relu,0.1,5,512,0.5,Adam,10
69,100,relu,0.1,5,512,0.5,Adam,10
70,200,relu,0.1,5,512,0.5,Adam,10
71,50,relu,0.1,9,512,0.5,Adam,10
72,100,relu,0.1,9,512,0.5,Adam,10
73,200,relu,0.1,9,512,0.5,Adam,10
